Fafnir Roy III\Flame\1\5740\300\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Flame Orb x20
Fafnir Roy III\Water\40\913699\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Water Champion (Lv. 40)
Fafnir Roy III\Water\41\1845672\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Fortifying Crystal x5
Fafnir Roy III\Water\42\1864129\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Fortifying Gemstone x5
Fafnir Roy III\Water\43\1892091\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Water Champion (Lv. 43)
Fafnir Roy III\Water\44\1920473\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Golden Fragment x1
Fafnir Roy III\Water\45\1955041\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Water Champion (Lv. 45)
Fafnir Roy III\Water\46\1990231\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Amplifying Crystal x5
Fafnir Roy III\Water\47\2028047\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Amplifying Gemstone x5
Fafnir Roy III\Water\48\2066579\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Water Champion (Lv. 48)
Fafnir Roy III\Water\49\2112043\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Damascus Crystal x1
Fafnir Roy III\Water\50\2162733\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Water Champion (Lv. 50)
Fafnir Roy III\Water\51\3041667\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Fortifying Crystal x10
Fafnir Roy III\Water\52\3285001\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Fortifying Gemstone x10
Fafnir Roy III\Water\53\3547801\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Water Champion (Lv. 53)
Fafnir Roy III\Water\54\3725191\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Sunlight Stone x1
Fafnir Roy III\Water\55\3855572\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Water Champion (Lv. 55)
Fafnir Roy III\Water\56\4198718\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Water\57\4572404\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Water\58\4979348\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Water\59\5422510\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Water\60\5905113\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Water\61\6430668\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Water\62\7002998\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Water\63\7626264\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Water\64\8305002\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Water\65\9044147\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Water\66\9849076\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Water\67\10725644\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Water\68\11680226\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Water\69\12719766\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Water\70\13851826\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Wind\1\4416\300\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Wind Orb x20
Fafnir Roy III\Wind\2\8224\300\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Wind Orb x50
Fafnir Roy III\Wind\3\12031\600\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Storm Orb x10
Fafnir Roy III\Wind\4\16099\600\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Storm Orb x20
Fafnir Roy III\Wind\5\19994\1200\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Windwyrm's Scale x40
Fafnir Roy III\Wind\6\51084\2400\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Maelstrom Orb x20
Fafnir Roy III\Wind\7\66473\4800\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Windwyrm's Squallscale x30
Fafnir Roy III\Wind\8\71551\4800\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Crimson Core x30
Fafnir Roy III\Wind\9\90155\7500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Jade Insignia x20
Fafnir Roy III\Wind\10\108758\7500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Epithet: Wind Champion (Lv. 10)
Fafnir Roy III\Wind\11\127361\7500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Jade Insignia x30
Fafnir Roy III\Wind\12\145965\7500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Jade Insignia x30
Fafnir Roy III\Wind\13\164568\7500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Royal Jade Insignia x10
Fafnir Roy III\Wind\14\181025\9000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Royal Jade Insignia x20
Fafnir Roy III\Wind\15\197482\9000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Twinkling Sand x2
Fafnir Roy III\Wind\16\213938\9000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Royal Jade Insignia x30
Fafnir Roy III\Wind\17\230395\9000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Royal Jade Insignia x40
Fafnir Roy III\Wind\18\246852\9000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Twinkling Sand x2
Fafnir Roy III\Wind\19\266600\12500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Eldwater x3000
Fafnir Roy III\Wind\20\286348\12500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Epithet: Wind Champion (Lv. 20)
Fafnir Roy III\Wind\21\306096\12500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Damascus Crystal x1
Fafnir Roy III\Wind\22\325845\12500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Sunlight Ore x1
Fafnir Roy III\Wind\23\345593\12500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Golden Fragment x1
Fafnir Roy III\Wind\24\387064\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Crimson Core x30
Fafnir Roy III\Wind\25\428535\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Eldwater x5,000
Fafnir Roy III\Wind\26\470006\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Twinkling Sand x2
Fafnir Roy III\Wind\27\511477\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Golden Fragment x1
Fafnir Roy III\Wind\28\552948\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Damascus Crystal x1
Fafnir Roy III\Wind\29\559584\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 60%, Paralysis: 60%, Blind: 60%, Stun: 60%, Curse: 60%, Bog: 60%, Sleep: 60%\~~None~~\\Sunlight Ore x1
Fafnir Roy III\Wind\30\566219\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Wind Champion (Lv. 30)
Fafnir Roy III\Wind\31\572855\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Golden Fragment x1
Fafnir Roy III\Wind\32\579490\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Damascus Crystal x1
Fafnir Roy III\Wind\33\586125\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Wind Champion (Lv. 33)
Fafnir Roy III\Wind\34\591987\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Sunlight Ore x1
Fafnir Roy III\Wind\35\597848\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Wind Champion (Lv. 35)
Fafnir Roy III\Wind\36\603709\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Golden Fragment x
Fafnir Roy III\Wind\37\609570\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Damascus Crystal x1
Fafnir Roy III\Wind\38\615432\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Wind Champion (Lv. 38)
Fafnir Roy III\Wind\39\620355\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Sunlight Stone x1
Fafnir Roy III\Wind\40\625279\19000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Wind Champion (Lv. 40)
Fafnir Roy III\Wind\41\1738391\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Fortifying Crystal x5
Fafnir Roy III\Wind\42\1776634\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Fortifying Gemstone x5
Fafnir Roy III\Wind\43\1821049\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Wind Champion (Lv. 43)
Fafnir Roy III\Wind\44\1875682\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Golden Fragment x1
Fafnir Roy III\Wind\45\1909445\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Wind Champion (Lv. 45)
Fafnir Roy III\Wind\46\1951451\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Amplifying Crystal x5
Fafnir Roy III\Wind\47\1974870\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Amplifying Gemstone x5
Fafnir Roy III\Wind\48\2004493\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Wind Champion (Lv. 48)
Fafnir Roy III\Wind\49\2040574\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Damascus Crystal x1
Fafnir Roy III\Wind\50\2081385\15000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Wind Champion (Lv. 50)
Fafnir Roy III\Wind\51\2781426\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Fortifying Crystal x10
Fafnir Roy III\Wind\52\3159790\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Fortifying Gemstone x10
Fafnir Roy III\Wind\53\3349378\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Wind Champion (Lv. 53)
Fafnir Roy III\Wind\54\3483353\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Sunlight Stone x1
Fafnir Roy III\Wind\55\3605270\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Wind Champion (Lv. 55)
Fafnir Roy III\Wind\56\3790941\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Amplifying Crystal x10
Fafnir Roy III\Wind\57\3986174\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Amplifying Gemstone x10
Fafnir Roy III\Wind\58\4191462\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Wind Champion (Lv. 58)
Fafnir Roy III\Wind\59\4407323\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Damascus Ingot x1
Fafnir Roy III\Wind\60\4634300\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\Epithet: Wind Champion (Lv. 60)
Fafnir Roy III\Wind\61\5079193\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Wind\62\5566795\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Wind\63\6101208\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Wind\64\6686924\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Wind\65\7328868\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Wind\66\8032440\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Wind\67\8803554\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Wind\68\9648695\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Wind\69\10574970\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Wind\70\11590167\23000\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 80%, Paralysis: 80%, Blind: 80%, Stun: 80%, Curse: 80%, Bog: 80%, Sleep: 80%\~~None~~\\
Fafnir Roy III\Light\1\4416\300\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Light Orb x20
Fafnir Roy III\Light\2\8224\300\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Light Orb x50
Fafnir Roy III\Light\3\12031\600\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Radiance Orb x10
Fafnir Roy III\Light\4\19215\600\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Radiance Orb x20
Fafnir Roy III\Light\5\27005\1200\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Lightwyrm's Scale x40
Fafnir Roy III\Light\6\55856\2400\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Refulgence Orb x20
Fafnir Roy III\Light\7\89973\4800\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Lightwyrm's Glowscale x30
Fafnir Roy III\Light\8\96796\4800\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: **0%**, Paralysis: **0%**, Blind: **0%**, Stun: **0%**, Curse: **0%**, Bog: **0%**, Sleep: **0%**\~~None~~\\Crimson Core x30
Fafnir Roy III\Light\9\120995\7500\Dragon\\\Poison: **0%**, Burn: **0%**, Freeze: 40%, Paralysis: 40%, Blind: 40%, Stun: 40%, Curse: 40%, Bog: 40%, Sleep: 40%\~~None~~\\Amber Insignia x20
